Shipment ID,Origin,Destination,Status,Estimated Arrival Time
2410,Los Angeles,New York,Delivered,2024-08-16 14:40:55.772675
2411,New York,New York,Delivered,2024-08-16 11:40:55.772680
2412,Los Angeles,Chicago,Delayed,2024-08-16 13:40:55.772684
2413,Houston,New York,In Transit,2024-08-16 12:40:55.772688
2414,Phoenix,New York,Delayed,2024-08-16 14:40:55.772692
2415,New York,Chicago,Delivered,2024-08-16 12:40:55.772696
2416,Phoenix,New York,Delayed,2024-08-16 08:40:55.772701
2417,Phoenix,New York,Delivered,2024-08-17 00:40:55.772705
2418,Phoenix,Houston,In Transit,2024-08-16 14:40:55.772709
2419,Houston,Chicago,Delivered,2024-08-16 09:40:55.772713
2420,Chicago,Chicago,Delivered,2024-08-16 14:40:55.772718
2421,Phoenix,Houston,Delivered,2024-08-16 22:40:55.772722
2422,Chicago,Chicago,Delayed,2024-08-16 11:40:55.772726
2423,New York,Los Angeles,Delivered,2024-08-16 06:40:55.772730
2424,Los Angeles,Phoenix,Delivered,2024-08-16 05:40:55.772735
2425,Phoenix,Phoenix,Delivered,2024-08-16 14:40:55.772739
2426,Chicago,Chicago,Delivered,2024-08-16 09:40:55.772743
2427,New York,Phoenix,Delivered,2024-08-16 15:40:55.772747
2428,Houston,New York,Delivered,2024-08-16 20:40:55.772751
2429,New York,New York,Delayed,2024-08-16 03:40:55.772756
2430,Houston,Los Angeles,In Transit,2024-08-16 04:40:55.772760
2431,Los Angeles,Houston,In Transit,2024-08-16 14:40:55.772764
2432,Los Angeles,Phoenix,In Transit,2024-08-16 23:40:55.772769
2433,Chicago,Los Angeles,In Transit,2024-08-16 05:40:55.772773
2434,Houston,Phoenix,Delayed,2024-08-16 19:40:55.772777
2435,Houston,New York,Delivered,2024-08-16 08:40:55.772781
2436,Los Angeles,Los Angeles,Delivered,2024-08-16 14:40:55.772786
2437,New York,Los Angeles,Delayed,2024-08-16 03:40:55.772790
2438,New York,Houston,In Transit,2024-08-16 10:40:55.772794
2439,Chicago,New York,Delayed,2024-08-16 23:40:55.772798
2440,Los Angeles,Los Angeles,Delayed,2024-08-16 17:40:55.772803
2441,Los Angeles,New York,In Transit,2024-08-16 05:40:55.772807
2442,Phoenix,New York,Delayed,2024-08-16 21:40:55.772811
2443,Chicago,Chicago,Delivered,2024-08-17 00:40:55.772815
2444,Los Angeles,Chicago,Delayed,2024-08-16 06:40:55.772820
2445,Phoenix,Houston,In Transit,2024-08-16 23:40:55.772824
2446,Houston,New York,In Transit,2024-08-16 23:40:55.772828
2447,Phoenix,Chicago,In Transit,2024-08-16 04:40:55.772833
2448,Los Angeles,Phoenix,Delayed,2024-08-16 21:40:55.772837
2449,New York,New York,In Transit,2024-08-16 10:40:55.772841
2450,Chicago,Los Angeles,Delivered,2024-08-16 07:40:55.772846
2451,Houston,New York,In Transit,2024-08-16 21:40:55.772850
2452,New York,Los Angeles,Delivered,2024-08-16 14:40:55.772856
2453,Chicago,Houston,Delayed,2024-08-16 06:40:55.772861
2454,Houston,Chicago,In Transit,2024-08-16 12:40:55.772866
2455,Houston,Phoenix,In Transit,2024-08-16 08:40:55.772870
2456,Los Angeles,Chicago,Delivered,2024-08-16 20:40:55.772874
2457,Phoenix,Los Angeles,Delayed,2024-08-16 10:40:55.772878
2458,New York,Houston,Delivered,2024-08-16 13:40:55.772883
2459,Phoenix,Los Angeles,Delayed,2024-08-16 12:40:55.772887
2460,Los Angeles,Houston,Delivered,2024-08-16 07:40:55.772891
2461,Los Angeles,Houston,Delivered,2024-08-16 23:40:55.772896
2462,New York,Phoenix,In Transit,2024-08-16 10:40:55.772900
2463,Houston,Phoenix,Delivered,2024-08-16 14:40:55.772904
2464,Chicago,Chicago,Delayed,2024-08-16 11:40:55.772909
2465,Houston,Phoenix,Delivered,2024-08-16 11:40:55.772913
2466,Phoenix,Los Angeles,Delayed,2024-08-16 13:40:55.772917
2467,New York,Los Angeles,Delivered,2024-08-16 09:40:55.772921
2468,Los Angeles,Houston,In Transit,2024-08-16 03:40:55.772926
2469,Houston,Chicago,Delivered,2024-08-16 11:40:55.772930
2470,New York,Chicago,Delayed,2024-08-16 08:40:55.772934
2471,Chicago,Chicago,Delayed,2024-08-16 10:40:55.772939
2472,Los Angeles,Houston,In Transit,2024-08-16 07:40:55.772943
2473,Houston,Phoenix,Delayed,2024-08-16 16:40:55.772948
2474,Los Angeles,New York,In Transit,2024-08-16 18:40:55.772952
2475,Phoenix,Los Angeles,Delivered,2024-08-16 10:40:55.772956
2476,Chicago,Houston,Delayed,2024-08-16 16:40:55.772960
2477,Chicago,Los Angeles,In Transit,2024-08-16 13:40:55.772965
2478,Chicago,Phoenix,Delivered,2024-08-16 17:40:55.772969
2479,Phoenix,Phoenix,Delivered,2024-08-16 10:40:55.772973
2480,Houston,Houston,In Transit,2024-08-16 17:40:55.772978
2481,Houston,Houston,In Transit,2024-08-16 21:40:55.772982
2482,Houston,New York,Delivered,2024-08-16 20:40:55.772986
2483,Houston,Chicago,Delivered,2024-08-16 17:40:55.772991
2484,Houston,New York,In Transit,2024-08-16 07:40:55.772995
2485,New York,Houston,In Transit,2024-08-16 09:40:55.772999
2486,Phoenix,New York,Delivered,2024-08-16 09:40:55.773004
2487,Chicago,Los Angeles,Delivered,2024-08-17 00:40:55.773008
2488,Houston,Phoenix,Delayed,2024-08-16 18:40:55.773012
2489,Houston,Phoenix,Delayed,2024-08-16 21:40:55.773016
2490,Chicago,New York,In Transit,2024-08-16 16:40:55.773021
2491,Chicago,Chicago,In Transit,2024-08-16 04:40:55.773025
2492,New York,Houston,Delivered,2024-08-16 13:40:55.773029
2493,Phoenix,Phoenix,Delivered,2024-08-16 17:40:55.773034
2494,Los Angeles,New York,In Transit,2024-08-16 22:40:55.773038
2495,New York,Houston,In Transit,2024-08-16 12:40:55.773042
2496,Los Angeles,Phoenix,In Transit,2024-08-16 23:40:55.773047
2497,New York,New York,In Transit,2024-08-16 12:40:55.773051
2498,Phoenix,Houston,Delivered,2024-08-16 11:40:55.773055
2499,Phoenix,Chicago,Delayed,2024-08-16 19:40:55.773059
2500,Los Angeles,New York,Delayed,2024-08-16 19:40:55.773064
2501,Houston,New York,In Transit,2024-08-16 18:40:55.773068
2502,Houston,New York,In Transit,2024-08-16 13:40:55.773072
2503,Houston,Phoenix,Delayed,2024-08-16 06:40:55.773077
2504,Los Angeles,Chicago,Delivered,2024-08-16 06:40:55.773081
2505,Houston,Chicago,Delivered,2024-08-16 12:40:55.773085
2506,Chicago,New York,In Transit,2024-08-16 02:40:55.773090
2507,Chicago,New York,In Transit,2024-08-16 20:40:55.773094
2508,Phoenix,Chicago,Delayed,2024-08-16 14:40:55.773098
2509,Los Angeles,Houston,In Transit,2024-08-16 05:40:55.773103
2510,Houston,New York,Delayed,2024-08-16 18:40:55.773107
2511,Chicago,Chicago,Delivered,2024-08-16 04:40:55.773111
2512,Houston,Phoenix,In Transit,2024-08-16 13:40:55.773116
2513,New York,Chicago,Delayed,2024-08-16 10:40:55.773120
2514,Houston,Houston,In Transit,2024-08-16 07:40:55.773124
2515,Phoenix,New York,In Transit,2024-08-16 12:40:55.773128
2516,New York,Chicago,Delayed,2024-08-16 11:40:55.773132
2517,Los Angeles,Los Angeles,In Transit,2024-08-16 20:40:55.773137
2518,Houston,New York,Delayed,2024-08-16 14:40:55.773141
2519,Houston,New York,In Transit,2024-08-16 13:40:55.773145
2520,New York,Los Angeles,In Transit,2024-08-16 08:40:55.773149
2521,Phoenix,New York,In Transit,2024-08-16 18:40:55.773153
2522,Phoenix,Phoenix,Delayed,2024-08-16 06:40:55.773158
2523,Phoenix,Phoenix,In Transit,2024-08-16 08:40:55.773162
2524,Los Angeles,Houston,Delivered,2024-08-16 17:40:55.773166
2525,New York,Houston,Delayed,2024-08-16 23:40:55.773170
2526,Chicago,Chicago,Delivered,2024-08-16 12:40:55.773175
2527,Los Angeles,Chicago,Delivered,2024-08-16 12:40:55.773179
2528,Phoenix,Phoenix,Delayed,2024-08-16 09:40:55.773183
2529,Phoenix,New York,Delayed,2024-08-17 00:40:55.773187
2530,Houston,Los Angeles,Delivered,2024-08-16 03:40:55.773191
2531,Los Angeles,Phoenix,Delayed,2024-08-16 02:40:55.773196
2532,New York,Houston,Delivered,2024-08-16 22:40:55.773200
2533,Phoenix,Houston,In Transit,2024-08-16 06:40:55.773204
2534,Chicago,Houston,Delayed,2024-08-16 23:40:55.773208
2535,Houston,Los Angeles,Delayed,2024-08-16 14:40:55.773212
2536,New York,Houston,Delivered,2024-08-16 16:40:55.773218
2537,New York,Houston,Delivered,2024-08-16 22:40:55.773222
2538,New York,Chicago,Delivered,2024-08-16 03:40:55.773227
2539,Houston,New York,Delivered,2024-08-16 21:40:55.773231
2540,Chicago,New York,Delivered,2024-08-16 07:40:55.773235
2541,Phoenix,Los Angeles,In Transit,2024-08-16 21:40:55.773239
2542,Houston,Houston,Delayed,2024-08-16 09:40:55.773243
2543,Houston,Chicago,In Transit,2024-08-16 16:40:55.773248
2544,Chicago,New York,In Transit,2024-08-16 11:40:55.773252
2545,New York,Los Angeles,Delivered,2024-08-16 19:40:55.773256
2546,Phoenix,Chicago,Delivered,2024-08-16 19:40:55.773260
2547,Los Angeles,Houston,Delayed,2024-08-16 04:40:55.773264
2548,New York,Los Angeles,Delivered,2024-08-16 16:40:55.773269
2549,New York,Chicago,In Transit,2024-08-16 04:40:55.773273
2550,Chicago,New York,Delayed,2024-08-16 09:40:55.773277
2551,Los Angeles,Phoenix,In Transit,2024-08-16 11:40:55.773281
2552,Phoenix,New York,In Transit,2024-08-16 13:40:55.773285
2553,Phoenix,Phoenix,In Transit,2024-08-16 13:40:55.773290
2554,Phoenix,Los Angeles,In Transit,2024-08-16 17:40:55.773294
2555,Chicago,Chicago,In Transit,2024-08-16 23:40:55.773298
2556,Los Angeles,Chicago,In Transit,2024-08-16 17:40:55.773302
2557,Los Angeles,Chicago,In Transit,2024-08-17 00:40:55.773306
2558,New York,Houston,In Transit,2024-08-16 02:40:55.773310
2559,Houston,New York,Delayed,2024-08-16 10:40:55.773315
2560,Los Angeles,Phoenix,In Transit,2024-08-16 11:40:55.773319
2561,Phoenix,Houston,Delivered,2024-08-16 23:40:55.773323
2562,Phoenix,Los Angeles,Delayed,2024-08-16 06:40:55.773327
2563,Houston,Los Angeles,Delivered,2024-08-16 07:40:55.773331
2564,Houston,Houston,In Transit,2024-08-16 12:40:55.773336
2565,New York,Phoenix,Delayed,2024-08-16 04:40:55.773340
2566,New York,Los Angeles,Delayed,2024-08-16 17:40:55.773344
2567,Chicago,New York,Delivered,2024-08-16 08:40:55.773348
2568,Phoenix,Los Angeles,Delayed,2024-08-16 23:40:55.773352
2569,Chicago,Phoenix,Delivered,2024-08-17 00:40:55.773357
2570,Phoenix,New York,Delayed,2024-08-17 00:40:55.773361
2571,Chicago,Houston,Delayed,2024-08-16 19:40:55.773365
2572,New York,Phoenix,In Transit,2024-08-16 20:40:55.773369
2573,Los Angeles,New York,In Transit,2024-08-16 05:40:55.773373
2574,Houston,New York,In Transit,2024-08-16 20:40:55.773377
2575,Phoenix,New York,In Transit,2024-08-16 07:40:55.773382
2576,New York,Phoenix,Delivered,2024-08-16 11:40:55.773386
2577,New York,Chicago,Delayed,2024-08-16 04:40:55.773390
2578,New York,Los Angeles,Delayed,2024-08-16 11:40:55.773394
2579,Chicago,Chicago,In Transit,2024-08-16 20:40:55.773398
2580,Houston,Los Angeles,Delayed,2024-08-16 21:40:55.773403
2581,New York,Phoenix,In Transit,2024-08-16 02:40:55.773407
2582,Chicago,Los Angeles,In Transit,2024-08-16 02:40:55.773411
2583,New York,Phoenix,Delayed,2024-08-16 12:40:55.773415
2584,Chicago,New York,In Transit,2024-08-16 11:40:55.773419
2585,Los Angeles,Houston,Delivered,2024-08-16 23:40:55.773424
2586,Chicago,Chicago,In Transit,2024-08-16 05:40:55.773428
2587,Phoenix,Chicago,In Transit,2024-08-16 11:40:55.773432
2588,Houston,Phoenix,Delivered,2024-08-16 18:40:55.773436
2589,Chicago,Los Angeles,In Transit,2024-08-16 12:40:55.773440
2590,Houston,Los Angeles,In Transit,2024-08-16 07:40:55.773444
2591,Chicago,Houston,In Transit,2024-08-16 06:40:55.773449
2592,Houston,New York,Delivered,2024-08-16 19:40:55.773453
2593,Los Angeles,Los Angeles,In Transit,2024-08-16 18:40:55.773457
2594,Phoenix,Los Angeles,In Transit,2024-08-16 18:40:55.773461
2595,Phoenix,New York,Delayed,2024-08-16 02:40:55.773466
2596,Phoenix,Houston,Delivered,2024-08-16 22:40:55.773470
2597,Chicago,Los Angeles,Delivered,2024-08-16 06:40:55.773474
2598,Phoenix,Phoenix,Delivered,2024-08-16 18:40:55.773478
2599,New York,New York,In Transit,2024-08-16 10:40:55.773482
2600,New York,Los Angeles,Delivered,2024-08-16 09:40:55.773487
2601,Phoenix,Houston,Delivered,2024-08-16 19:40:55.773491
2602,Phoenix,Chicago,In Transit,2024-08-16 14:40:55.773495
2603,Chicago,Phoenix,Delayed,2024-08-16 13:40:55.773499
2604,Phoenix,Phoenix,Delivered,2024-08-16 08:40:55.773503
2605,Houston,Phoenix,Delivered,2024-08-16 06:40:55.773507
2606,Los Angeles,Phoenix,Delivered,2024-08-16 13:40:55.773512
2607,Chicago,Chicago,Delivered,2024-08-16 14:40:55.773517
2608,Chicago,Chicago,In Transit,2024-08-17 00:40:55.773521
2609,New York,Chicago,Delivered,2024-08-16 22:40:55.773525
2610,Chicago,Chicago,In Transit,2024-08-16 18:40:55.773529
2611,Chicago,Houston,In Transit,2024-08-16 22:40:55.773533
2612,Los Angeles,Los Angeles,Delayed,2024-08-16 21:40:55.773537
2613,Houston,Chicago,Delivered,2024-08-16 22:40:55.773542
2614,Los Angeles,Chicago,Delivered,2024-08-16 13:40:55.773546
2615,Houston,Houston,Delivered,2024-08-16 11:40:55.773550
2616,New York,New York,Delayed,2024-08-16 11:40:55.773554
2617,Los Angeles,Houston,Delivered,2024-08-16 08:40:55.773558
2618,Los Angeles,New York,In Transit,2024-08-16 03:40:55.773563
2619,Los Angeles,Phoenix,Delivered,2024-08-16 15:40:55.773567
2620,Phoenix,Houston,Delayed,2024-08-16 21:40:55.773572
2621,Phoenix,Phoenix,Delivered,2024-08-16 04:40:55.773577
2622,Los Angeles,New York,Delayed,2024-08-16 15:40:55.773581
2623,Chicago,Houston,Delivered,2024-08-16 10:40:55.773585
2624,New York,New York,Delayed,2024-08-16 23:40:55.773589
2625,Chicago,New York,Delivered,2024-08-16 18:40:55.773593
2626,New York,Phoenix,Delivered,2024-08-17 00:40:55.773598
2627,New York,New York,Delayed,2024-08-16 10:40:55.773602
2628,Phoenix,Los Angeles,Delivered,2024-08-16 20:40:55.773606
2629,New York,Chicago,Delayed,2024-08-16 17:40:55.773610
2630,Los Angeles,Houston,Delivered,2024-08-16 08:40:55.773614
2631,Los Angeles,Phoenix,In Transit,2024-08-16 22:40:55.773618
2632,New York,Chicago,Delayed,2024-08-16 16:40:55.773623
2633,Phoenix,Phoenix,Delayed,2024-08-16 17:40:55.773627
2634,Chicago,Los Angeles,Delivered,2024-08-16 12:40:55.773631
2635,Phoenix,Chicago,In Transit,2024-08-16 16:40:55.773635
2636,Phoenix,Houston,Delayed,2024-08-16 23:40:55.773639
2637,Chicago,New York,In Transit,2024-08-16 22:40:55.773644
2638,Los Angeles,New York,Delayed,2024-08-16 02:40:55.773648
2639,Houston,Chicago,Delivered,2024-08-16 22:40:55.773652
2640,Phoenix,Phoenix,In Transit,2024-08-16 10:40:55.773656
2641,Los Angeles,Houston,In Transit,2024-08-16 03:40:55.773660
2642,New York,New York,Delayed,2024-08-16 14:40:55.773664
2643,Phoenix,Chicago,In Transit,2024-08-16 03:40:55.773669
2644,Phoenix,Chicago,Delivered,2024-08-16 09:40:55.773673
2645,New York,Los Angeles,In Transit,2024-08-16 11:40:55.773677
2646,Houston,Houston,In Transit,2024-08-16 16:40:55.773681
2647,Houston,Houston,Delivered,2024-08-16 07:40:55.773685
2648,Chicago,Phoenix,In Transit,2024-08-16 07:40:55.773690
2649,New York,Phoenix,In Transit,2024-08-16 16:40:55.773694
2650,Los Angeles,Chicago,Delivered,2024-08-16 11:40:55.773698
2651,Los Angeles,Los Angeles,Delivered,2024-08-16 16:40:55.773702
2652,Houston,Chicago,In Transit,2024-08-16 06:40:55.773706
2653,Chicago,Phoenix,Delivered,2024-08-16 14:40:55.773711
2654,Chicago,New York,In Transit,2024-08-16 19:40:55.773715
2655,Los Angeles,Los Angeles,Delayed,2024-08-16 16:40:55.773719
2656,Chicago,Houston,Delayed,2024-08-16 16:40:55.773723
2657,Houston,New York,In Transit,2024-08-16 19:40:55.773728
2658,Houston,New York,In Transit,2024-08-16 11:40:55.773732
2659,Chicago,Houston,In Transit,2024-08-16 07:40:55.773736
2660,Houston,Chicago,Delivered,2024-08-16 03:40:55.773740
2661,Houston,Los Angeles,In Transit,2024-08-16 21:40:55.773744
2662,Chicago,New York,Delivered,2024-08-16 02:40:55.773748
2663,Houston,Chicago,Delivered,2024-08-16 17:40:55.773753
2664,New York,Houston,In Transit,2024-08-16 20:40:55.773757
2665,Houston,Chicago,Delayed,2024-08-16 13:40:55.773761
2666,Phoenix,New York,In Transit,2024-08-16 09:40:55.773765
2667,Los Angeles,Los Angeles,Delayed,2024-08-16 11:40:55.773769
2668,New York,Los Angeles,Delivered,2024-08-16 22:40:55.773773
2669,Chicago,Houston,Delayed,2024-08-16 15:40:55.773778
2670,Los Angeles,Chicago,In Transit,2024-08-16 03:40:55.773782
2671,Phoenix,Phoenix,Delayed,2024-08-16 20:40:55.773786
2672,Los Angeles,Los Angeles,Delayed,2024-08-16 21:40:55.773790
2673,Houston,Phoenix,In Transit,2024-08-17 00:40:55.773794
2674,Los Angeles,Chicago,Delayed,2024-08-16 23:40:55.773799
2675,Chicago,Chicago,In Transit,2024-08-17 00:40:55.773803
2676,Houston,Phoenix,In Transit,2024-08-16 17:40:55.773807
2677,Houston,Houston,Delayed,2024-08-16 03:40:55.773811
2678,Phoenix,Phoenix,Delayed,2024-08-16 18:40:55.773816
2679,Los Angeles,New York,Delayed,2024-08-16 02:40:55.773820
2680,Phoenix,Phoenix,Delayed,2024-08-16 13:40:55.773824
2681,Houston,Phoenix,Delayed,2024-08-16 03:40:55.773828
2682,Houston,Houston,In Transit,2024-08-16 12:40:55.773832
2683,Phoenix,New York,Delayed,2024-08-16 15:40:55.773837
2684,Houston,Chicago,In Transit,2024-08-16 23:40:55.773841
2685,Los Angeles,New York,Delayed,2024-08-16 12:40:55.773845
2686,New York,Phoenix,Delayed,2024-08-16 09:40:55.773849
2687,Phoenix,Chicago,Delayed,2024-08-16 09:40:55.773853
2688,Chicago,Houston,Delayed,2024-08-16 02:40:55.773857
2689,New York,Chicago,Delivered,2024-08-16 06:40:55.773862
2690,Chicago,Houston,Delivered,2024-08-16 06:40:55.773866
2691,Houston,Phoenix,Delayed,2024-08-16 05:40:55.773870
2692,New York,New York,Delivered,2024-08-16 10:40:55.773874
2693,Houston,New York,Delivered,2024-08-16 15:40:55.773878
2694,Houston,New York,In Transit,2024-08-16 06:40:55.773883
2695,Phoenix,New York,Delivered,2024-08-16 20:40:55.773887
2696,Chicago,New York,In Transit,2024-08-16 16:40:55.773891
2697,Los Angeles,Los Angeles,Delayed,2024-08-16 04:40:55.773895
2698,Phoenix,Phoenix,Delayed,2024-08-16 20:40:55.773899
2699,Phoenix,New York,Delayed,2024-08-16 22:40:55.773903
2700,Chicago,New York,Delivered,2024-08-16 14:40:55.773908
2701,Phoenix,Houston,Delayed,2024-08-16 19:40:55.773912
2702,Chicago,Phoenix,In Transit,2024-08-16 04:40:55.773916
2703,Phoenix,Houston,Delivered,2024-08-16 22:40:55.773920
2704,New York,New York,Delivered,2024-08-16 06:40:55.773926
2705,Chicago,Phoenix,In Transit,2024-08-16 12:40:55.773930
2706,Los Angeles,Phoenix,Delivered,2024-08-16 04:40:55.773934
2707,Phoenix,Phoenix,Delivered,2024-08-16 09:40:55.773939
2708,New York,Chicago,In Transit,2024-08-16 12:40:55.773943
2709,Los Angeles,Los Angeles,Delayed,2024-08-16 21:40:55.773947
2710,Phoenix,Los Angeles,Delivered,2024-08-16 04:40:55.773951
2711,Phoenix,New York,In Transit,2024-08-16 03:40:55.773955
2712,Houston,Los Angeles,Delivered,2024-08-16 02:40:55.773959
2713,Phoenix,Phoenix,In Transit,2024-08-16 12:40:55.773964
2714,Los Angeles,Chicago,Delivered,2024-08-16 06:40:55.773968
2715,Los Angeles,Los Angeles,Delayed,2024-08-16 22:40:55.773972
2716,New York,Los Angeles,In Transit,2024-08-16 07:40:55.773976
2717,Houston,Chicago,Delayed,2024-08-16 13:40:55.773980
2718,New York,Houston,In Transit,2024-08-16 06:40:55.773985
2719,New York,New York,Delivered,2024-08-16 16:40:55.773989
2720,Phoenix,Phoenix,Delivered,2024-08-16 05:40:55.773993
2721,New York,Chicago,Delivered,2024-08-16 15:40:55.773997
2722,Chicago,Houston,Delivered,2024-08-16 15:40:55.774001
2723,Houston,New York,In Transit,2024-08-16 13:40:55.774006
2724,Phoenix,Houston,In Transit,2024-08-16 04:40:55.774010
2725,Chicago,New York,Delivered,2024-08-16 03:40:55.774014
2726,Los Angeles,Los Angeles,Delayed,2024-08-16 07:40:55.774018
2727,Houston,Chicago,Delivered,2024-08-16 21:40:55.774023
2728,Los Angeles,New York,Delayed,2024-08-16 15:40:55.774027
2729,Los Angeles,Chicago,In Transit,2024-08-16 07:40:55.774031
2730,Phoenix,Chicago,In Transit,2024-08-16 17:40:55.774035
2731,Chicago,Houston,Delivered,2024-08-16 12:40:55.774039
2732,Houston,Phoenix,Delivered,2024-08-16 05:40:55.774043
2733,Phoenix,Houston,Delivered,2024-08-16 23:40:55.774047
2734,New York,Houston,In Transit,2024-08-16 14:40:55.774052
2735,Houston,Phoenix,Delivered,2024-08-16 10:40:55.774056
2736,Phoenix,Phoenix,Delivered,2024-08-16 05:40:55.774060
2737,Houston,Houston,Delayed,2024-08-16 12:40:55.774064
2738,Houston,Chicago,In Transit,2024-08-16 16:40:55.774069
2739,Phoenix,Los Angeles,Delivered,2024-08-16 07:40:55.774073
2740,Los Angeles,Phoenix,Delayed,2024-08-16 15:40:55.774077
2741,Los Angeles,Los Angeles,Delayed,2024-08-16 07:40:55.774081
2742,Phoenix,Chicago,Delivered,2024-08-16 06:40:55.774085
2743,Houston,Phoenix,In Transit,2024-08-16 05:40:55.774090
2744,Los Angeles,New York,Delayed,2024-08-16 13:40:55.774094
2745,Chicago,New York,In Transit,2024-08-16 10:40:55.774098
2746,New York,Houston,Delayed,2024-08-16 02:40:55.774102
2747,New York,Los Angeles,Delayed,2024-08-16 13:40:55.774107
2748,Chicago,New York,In Transit,2024-08-16 06:40:55.774111
2749,Chicago,Houston,Delayed,2024-08-16 04:40:55.774115
2750,Chicago,Houston,Delivered,2024-08-16 23:40:55.774119
2751,Houston,Houston,Delivered,2024-08-16 11:40:55.774123
2752,Los Angeles,Chicago,Delayed,2024-08-16 20:40:55.774127
2753,Chicago,Los Angeles,Delivered,2024-08-16 23:40:55.774132
2754,Phoenix,Phoenix,In Transit,2024-08-16 16:40:55.774136
2755,New York,Houston,In Transit,2024-08-16 19:40:55.774141
2756,New York,Phoenix,Delivered,2024-08-16 10:40:55.774145
2757,Chicago,New York,Delivered,2024-08-16 21:40:55.774149
2758,Los Angeles,Chicago,Delivered,2024-08-17 00:40:55.774153
2759,Chicago,Phoenix,In Transit,2024-08-16 20:40:55.774157
2760,Phoenix,Houston,Delayed,2024-08-16 23:40:55.774161
2761,Chicago,Chicago,Delivered,2024-08-16 10:40:55.774166
2762,Houston,Houston,Delivered,2024-08-16 15:40:55.774170
2763,Chicago,Chicago,In Transit,2024-08-16 20:40:55.774174
2764,Houston,Phoenix,Delayed,2024-08-16 23:40:55.774178
2765,Los Angeles,Phoenix,In Transit,2024-08-16 18:40:55.774182
2766,Los Angeles,New York,Delivered,2024-08-16 09:40:55.774186
2767,Phoenix,Los Angeles,In Transit,2024-08-16 13:40:55.774191
2768,Los Angeles,Houston,Delayed,2024-08-16 02:40:55.774195
2769,Houston,Houston,In Transit,2024-08-16 10:40:55.774199
2770,Los Angeles,New York,In Transit,2024-08-16 14:40:55.774203
2771,Houston,Chicago,Delayed,2024-08-16 16:40:55.774207
2772,Phoenix,Chicago,Delivered,2024-08-16 20:40:55.774212
2773,Houston,Phoenix,In Transit,2024-08-16 15:40:55.774216
2774,Chicago,Phoenix,In Transit,2024-08-16 22:40:55.774220
2775,Los Angeles,Houston,Delayed,2024-08-16 03:40:55.774224
2776,New York,Los Angeles,Delivered,2024-08-16 18:40:55.774228
2777,Chicago,Houston,Delayed,2024-08-16 19:40:55.774233
2778,Houston,Chicago,Delivered,2024-08-16 11:40:55.774237
2779,Chicago,Los Angeles,Delivered,2024-08-16 11:40:55.774241
2780,Chicago,Los Angeles,In Transit,2024-08-16 16:40:55.774245
2781,Chicago,New York,Delivered,2024-08-16 17:40:55.774249
2782,Chicago,Phoenix,Delivered,2024-08-16 13:40:55.774253
2783,Houston,Los Angeles,In Transit,2024-08-16 06:40:55.774258
2784,Los Angeles,Houston,In Transit,2024-08-16 03:40:55.774262
2785,Los Angeles,Chicago,Delivered,2024-08-16 15:40:55.774266
2786,Chicago,Phoenix,Delivered,2024-08-16 11:40:55.774270
2787,New York,Houston,Delivered,2024-08-16 20:40:55.774274
2788,Los Angeles,Chicago,Delayed,2024-08-16 19:40:55.774280
2789,Houston,Houston,In Transit,2024-08-16 17:40:55.774285
2790,Houston,Houston,Delivered,2024-08-16 08:40:55.774289
2791,Los Angeles,Phoenix,Delivered,2024-08-16 04:40:55.774294
2792,Houston,Chicago,In Transit,2024-08-16 23:40:55.774298
2793,Houston,Houston,Delivered,2024-08-16 05:40:55.774302
2794,Phoenix,Los Angeles,Delivered,2024-08-16 19:40:55.774307
2795,Houston,Phoenix,Delivered,2024-08-16 09:40:55.774311
2796,Los Angeles,New York,Delivered,2024-08-16 19:40:55.774315
2797,Los Angeles,Los Angeles,Delayed,2024-08-16 11:40:55.774319
2798,New York,Chicago,Delivered,2024-08-16 18:40:55.774323
2799,Chicago,Los Angeles,Delivered,2024-08-16 04:40:55.774328
2800,Los Angeles,Houston,In Transit,2024-08-16 18:40:55.774332
2801,Houston,New York,Delayed,2024-08-16 02:40:55.774336
2802,New York,Phoenix,In Transit,2024-08-16 19:40:55.774340
2803,Phoenix,New York,Delivered,2024-08-16 17:40:55.774344
2804,New York,Los Angeles,In Transit,2024-08-16 07:40:55.774348
2805,Houston,New York,Delayed,2024-08-16 22:40:55.774353
2806,Los Angeles,Chicago,Delivered,2024-08-16 15:40:55.774357
2807,New York,Houston,Delivered,2024-08-16 07:40:55.774361
2808,Houston,Houston,Delivered,2024-08-16 22:40:55.774365
2809,Phoenix,Chicago,Delivered,2024-08-16 13:40:55.774369
2810,New York,Houston,Delayed,2024-08-16 04:40:55.774373
2811,Houston,Phoenix,Delivered,2024-08-16 07:40:55.774378
2812,Chicago,Houston,In Transit,2024-08-16 22:40:55.774382
2813,Los Angeles,Houston,Delivered,2024-08-17 00:40:55.774386
2814,Houston,Los Angeles,In Transit,2024-08-16 22:40:55.774390
2815,Chicago,New York,Delivered,2024-08-16 03:40:55.774394
2816,Los Angeles,Houston,Delivered,2024-08-16 11:40:55.774399
2817,Los Angeles,Los Angeles,Delayed,2024-08-17 00:40:55.774403
2818,Los Angeles,Chicago,Delayed,2024-08-17 00:40:55.774407
2819,Chicago,Phoenix,Delayed,2024-08-16 09:40:55.774411
2820,New York,Chicago,In Transit,2024-08-16 08:40:55.774416
2821,Chicago,Phoenix,In Transit,2024-08-16 18:40:55.774420
